"","survey_1","survey_2","survey_3","survey_4","survey_5"
"Cascada_0",0,NA,NA,NA,NA
"Cascada_100",3.224825263,NA,NA,NA,NA
"Cascada_120",NA,NA,NA,NA,NA
"Cascada_140",0,NA,NA,NA,NA
"Cascada_160",0,NA,NA,NA,NA
"Cascada_180",0,NA,NA,NA,NA
"Cascada_20",14.795139136,0.450537275,NA,NA,NA
"Cascada_40",1.626516283,NA,NA,NA,NA
"Cascada_60",6.906538606,NA,NA,NA,NA
"Cascada_80",0.394858755,NA,NA,NA,NA
"Guabal_0",NA,NA,NA,NA,NA
"Guabal_100",NA,NA,NA,NA,NA
"Guabal_120",0,NA,NA,NA,NA
"Guabal_140",NA,NA,NA,NA,NA
"Guabal_160",0,NA,NA,NA,NA
"Guabal_180",NA,NA,NA,NA,NA
"Guabal_20",0,NA,NA,NA,NA
"Guabal_40",NA,NA,NA,NA,NA
"Guabal_60",NA,NA,NA,NA,NA
"Guabal_80",0,NA,NA,NA,NA
"LoopStream_0",NA,NA,NA,NA,NA
"LoopStream_100",0,NA,NA,NA,NA
"LoopStream_120",0,0,NA,NA,NA
"LoopStream_140",0,NA,NA,NA,NA
"LoopStream_160",NA,NA,NA,NA,NA
"LoopStream_180",0,NA,NA,NA,NA
"LoopStream_20",NA,NA,NA,NA,NA
"LoopStream_40",0.733070672,0,NA,NA,NA
"LoopStream_60",0,NA,NA,NA,NA
"LoopStream_80",0,0,NA,NA,NA
"LoopTrail_0",NA,NA,NA,NA,NA
"LoopTrail_100",NA,NA,NA,NA,NA
"LoopTrail_120",NA,NA,NA,NA,NA
"LoopTrail_140",NA,NA,NA,NA,NA
"LoopTrail_160",NA,NA,NA,NA,NA
"LoopTrail_180",NA,NA,NA,NA,NA
"LoopTrail_20",NA,NA,NA,NA,NA
"LoopTrail_200",NA,NA,NA,NA,NA
"LoopTrail_220",NA,NA,NA,NA,NA
"LoopTrail_240",0,NA,NA,NA,NA
"LoopTrail_260",NA,NA,NA,NA,NA
"LoopTrail_280",0,NA,NA,NA,NA
"LoopTrail_300",NA,NA,NA,NA,NA
"LoopTrail_320",NA,NA,NA,NA,NA
"LoopTrail_340",NA,NA,NA,NA,NA
"LoopTrail_360",NA,NA,NA,NA,NA
"LoopTrail_40",NA,NA,NA,NA,NA
"LoopTrail_60",0,NA,NA,NA,NA
"LoopTrail_80",0,NA,NA,NA,NA
"MainTrail_0",NA,NA,NA,NA,NA
"MainTrail_100",NA,NA,NA,NA,NA
"MainTrail_120",NA,NA,NA,NA,NA
"MainTrail_140",NA,NA,NA,NA,NA
"MainTrail_160",NA,NA,NA,NA,NA
"MainTrail_180",NA,NA,NA,NA,NA
"MainTrail_20",NA,NA,NA,NA,NA
"MainTrail_200",NA,NA,NA,NA,NA
"MainTrail_220",NA,NA,NA,NA,NA
"MainTrail_240",NA,NA,NA,NA,NA
"MainTrail_260",NA,NA,NA,NA,NA
"MainTrail_280",NA,NA,NA,NA,NA
"MainTrail_300",NA,NA,NA,NA,NA
"MainTrail_320",NA,NA,NA,NA,NA
"MainTrail_340",NA,NA,NA,NA,NA
"MainTrail_360",NA,NA,NA,NA,NA
"MainTrail_380",NA,NA,NA,NA,NA
"MainTrail_40",NA,NA,NA,NA,NA
"MainTrail_60",NA,NA,NA,NA,NA
"MainTrail_80",NA,NA,NA,NA,NA
"Silenciosa_0",NA,NA,NA,NA,NA
"Silenciosa_100",NA,NA,NA,NA,NA
"Silenciosa_120",0,NA,NA,NA,NA
"Silenciosa_140",NA,NA,NA,NA,NA
"Silenciosa_160",NA,NA,NA,NA,NA
"Silenciosa_180",0,NA,NA,NA,NA
"Silenciosa_20",NA,NA,NA,NA,NA
"Silenciosa_40",NA,NA,NA,NA,NA
"Silenciosa_60",NA,NA,NA,NA,NA
"Silenciosa_80",0,NA,NA,NA,NA
"Verrugosa_0",NA,NA,NA,NA,NA
"Verrugosa_100",NA,NA,NA,NA,NA
"Verrugosa_120",NA,NA,NA,NA,NA
"Verrugosa_140",NA,NA,NA,NA,NA
"Verrugosa_160",0,NA,NA,NA,NA
"Verrugosa_180",NA,NA,NA,NA,NA
"Verrugosa_20",0,NA,NA,NA,NA
"Verrugosa_200",NA,NA,NA,NA,NA
"Verrugosa_220",0,NA,NA,NA,NA
"Verrugosa_240",NA,NA,NA,NA,NA
"Verrugosa_260",NA,NA,NA,NA,NA
"Verrugosa_280",NA,NA,NA,NA,NA
"Verrugosa_300",NA,NA,NA,NA,NA
"Verrugosa_320",NA,NA,NA,NA,NA
"Verrugosa_340",NA,NA,NA,NA,NA
"Verrugosa_360",0,NA,NA,NA,NA
"Verrugosa_380",NA,NA,NA,NA,NA
"Verrugosa_40",0,NA,NA,NA,NA
"Verrugosa_60",NA,NA,NA,NA,NA
"Verrugosa_80",NA,NA,NA,NA,NA
