"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",0,0,0,0,0,0,0,NA
"Cascada_100",0,0,0,0,0,0,0,NA
"Cascada_120",0,0,0,0,0,0,0,NA
"Cascada_140",0,0,0,0,0,1,0,NA
"Cascada_160",0,0,0,0,0,0,0,NA
"Cascada_180",0,0,0,0,0,0,0,NA
"Cascada_20",0,0,0,0,0,0,0,NA
"Cascada_40",0,0,1,0,0,0,0,NA
"Cascada_60",0,0,1,0,0,0,1,NA
"Cascada_80",0,0,0,0,0,0,0,NA
"Guabal_0",0,0,1,0,0,1,0,NA
"Guabal_100",0,0,0,0,0,0,0,NA
"Guabal_120",0,0,2,0,2,2,2,NA
"Guabal_140",0,0,1,0,0,1,0,NA
"Guabal_160",0,0,0,1,0,0,1,NA
"Guabal_180",0,0,0,0,0,2,0,NA
"Guabal_20",0,0,0,0,0,0,0,NA
"Guabal_40",0,0,0,0,0,0,0,NA
"Guabal_60",0,0,0,0,0,2,2,NA
"Guabal_80",0,0,0,0,0,1,0,NA
"LoopStream_0",0,0,0,0,0,0,0,0
"LoopStream_100",0,0,0,0,0,0,0,0
"LoopStream_120",0,0,0,0,0,0,0,0
"LoopStream_140",0,0,0,0,0,0,0,0
"LoopStream_160",0,0,0,0,0,0,0,0
"LoopStream_180",0,0,0,0,0,0,0,0
"LoopStream_20",0,0,0,0,0,0,0,1
"LoopStream_40",0,0,0,0,0,0,0,0
"LoopStream_60",0,0,0,0,0,0,0,0
"LoopStream_80",0,0,0,0,0,0,0,0
"LoopTrail_0",0,0,0,0,0,0,0,NA
"LoopTrail_100",0,0,0,0,0,0,0,NA
"LoopTrail_120",0,0,0,0,0,0,0,NA
"LoopTrail_140",0,0,0,0,0,0,0,NA
"LoopTrail_160",0,0,0,0,0,0,0,NA
"LoopTrail_180",0,0,0,0,0,0,0,NA
"LoopTrail_20",0,0,0,0,0,0,0,NA
"LoopTrail_200",0,0,0,0,0,0,0,NA
"LoopTrail_220",0,0,0,0,0,0,0,NA
"LoopTrail_240",0,0,0,0,0,0,0,NA
"LoopTrail_260",0,0,0,0,0,0,0,NA
"LoopTrail_280",0,0,0,0,0,0,0,NA
"LoopTrail_300",0,0,0,0,0,0,0,NA
"LoopTrail_320",0,0,0,0,0,0,0,NA
"LoopTrail_340",0,0,0,0,0,0,0,NA
"LoopTrail_360",0,0,0,0,0,0,0,NA
"LoopTrail_40",0,0,0,0,0,0,0,NA
"LoopTrail_60",0,0,0,0,0,0,0,NA
"LoopTrail_80",0,0,0,0,0,0,0,NA
"MainTrail_0",0,0,0,0,0,0,0,0
"MainTrail_100",0,0,0,0,0,0,0,0
"MainTrail_120",0,0,0,0,0,0,0,0
"MainTrail_140",0,0,0,0,0,0,0,0
"MainTrail_160",0,0,0,0,0,0,0,0
"MainTrail_180",0,0,0,0,0,0,0,0
"MainTrail_20",0,0,0,0,0,0,0,0
"MainTrail_200",0,0,0,0,0,0,0,0
"MainTrail_220",0,0,0,0,0,0,0,0
"MainTrail_240",0,0,0,0,0,0,0,0
"MainTrail_260",0,0,0,0,0,0,0,0
"MainTrail_280",0,0,0,0,0,0,0,0
"MainTrail_300",0,0,0,0,0,0,0,0
"MainTrail_320",0,0,0,0,0,0,0,0
"MainTrail_340",0,0,0,0,0,0,0,0
"MainTrail_360",0,0,0,0,0,0,0,0
"MainTrail_380",0,0,0,0,0,0,0,0
"MainTrail_40",0,0,0,0,0,0,0,0
"MainTrail_60",0,0,0,0,0,0,0,0
"MainTrail_80",0,0,0,0,0,0,0,0
"Silenciosa_0",0,0,0,0,0,0,0,0
"Silenciosa_100",0,0,0,0,0,0,0,0
"Silenciosa_120",0,0,0,0,1,0,0,0
"Silenciosa_140",0,0,0,0,0,0,0,0
"Silenciosa_160",0,0,0,0,0,0,0,0
"Silenciosa_180",0,0,0,0,0,0,0,0
"Silenciosa_20",0,0,0,0,0,0,0,0
"Silenciosa_40",0,1,0,0,0,0,0,0
"Silenciosa_60",0,0,0,0,0,0,0,0
"Silenciosa_80",0,0,0,0,0,0,0,0
"Verrugosa_0",0,0,0,0,0,0,0,0
"Verrugosa_100",0,0,0,0,0,0,0,0
"Verrugosa_120",0,0,0,0,0,0,0,0
"Verrugosa_140",0,0,0,0,0,0,0,0
"Verrugosa_160",0,0,0,0,0,0,0,0
"Verrugosa_180",0,0,0,0,0,0,0,0
"Verrugosa_20",0,0,0,0,0,0,0,0
"Verrugosa_200",0,0,0,0,0,0,0,0
"Verrugosa_220",0,0,0,0,0,0,0,0
"Verrugosa_240",0,0,0,0,0,0,0,0
"Verrugosa_260",0,0,0,0,0,0,0,0
"Verrugosa_280",0,0,0,0,0,0,0,0
"Verrugosa_300",0,0,0,0,0,0,0,0
"Verrugosa_320",0,0,0,0,0,0,0,0
"Verrugosa_340",0,0,0,0,0,0,0,0
"Verrugosa_360",0,0,0,0,0,0,0,0
"Verrugosa_380",0,0,0,0,0,0,0,0
"Verrugosa_40",0,0,0,0,0,0,0,0
"Verrugosa_60",0,0,0,0,0,0,0,0
"Verrugosa_80",0,0,0,0,0,0,0,0
