"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",0,0,0,1.04018189,0,0,0,NA
"Cascada_100",0,NA,NA,NA,NA,NA,NA,NA
"Cascada_120",0,0,0,0,0,NA,NA,NA
"Cascada_140",0,0,0,0,0,0,NA,NA
"Cascada_160",0,0,NA,NA,NA,NA,NA,NA
"Cascada_180",0,0,0,0,0,0,0,NA
"Cascada_20",0,0,0,0,0,0,NA,NA
"Cascada_40",0,0,0,0,0,0,NA,NA
"Cascada_60",0,0,0,NA,NA,NA,NA,NA
"Cascada_80",3.019046783,0,NA,NA,NA,NA,NA,NA
"Guabal_0",0,NA,NA,NA,NA,NA,NA,NA
"Guabal_100",0,0,0,0,0,NA,NA,NA
"Guabal_120",0,0,0,NA,NA,NA,NA,NA
"Guabal_140",0,0,0,0,0,NA,NA,NA
"Guabal_160",0,0,NA,NA,NA,NA,NA,NA
"Guabal_180",0,0,0,0,0,0,NA,NA
"Guabal_20",0,0,0,0,NA,NA,NA,NA
"Guabal_40",0,0,NA,NA,NA,NA,NA,NA
"Guabal_60",0,0,NA,NA,NA,NA,NA,NA
"Guabal_80",0,0,0,0,0,NA,NA,NA
"LoopStream_0",0,0,0,0,NA,NA,NA,NA
"LoopStream_100",0,0,0,0,0,0,NA,NA
"LoopStream_120",0,0,0,NA,NA,NA,NA,NA
"LoopStream_140",0,0,0,0,0,NA,NA,NA
"LoopStream_160",0,0,0,0,NA,NA,NA,NA
"LoopStream_180",0,NA,NA,NA,NA,NA,NA,NA
"LoopStream_20",0,0,0,NA,NA,NA,NA,NA
"LoopStream_40",0,0,0,0,0,NA,NA,NA
"LoopStream_60",0,0,NA,NA,NA,NA,NA,NA
"LoopStream_80",0,0,0,NA,NA,NA,NA,NA
"LoopTrail_0",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_100",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_120",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_140",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_160",0,0,0,NA,NA,NA,NA,NA
"LoopTrail_180",0,0,0,NA,NA,NA,NA,NA
"LoopTrail_20",0,0,0,0,0,NA,NA,NA
"LoopTrail_200",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_220",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_240",0,0,0,0,NA,NA,NA,NA
"LoopTrail_260",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_280",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_300",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_320",0,0,0,NA,NA,NA,NA,NA
"LoopTrail_340",0,0,0,NA,NA,NA,NA,NA
"LoopTrail_360",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_40",0,0,0,0,NA,NA,NA,NA
"LoopTrail_60",0,0,0,0,NA,NA,NA,NA
"LoopTrail_80",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_0",0,0,0,NA,NA,NA,NA,NA
"MainTrail_100",0,0,0,NA,NA,NA,NA,NA
"MainTrail_120",0,0,0,0,NA,NA,NA,NA
"MainTrail_140",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_160",0,0,0,0,0,NA,NA,NA
"MainTrail_180",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_20",0,0,0,0,NA,NA,NA,NA
"MainTrail_200",5.14133513,0,NA,NA,NA,NA,NA,NA
"MainTrail_220",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_240",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_260",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_280",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_300",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_320",0,0.410659239,NA,NA,NA,NA,NA,NA
"MainTrail_340",1.34416759,0,0,0,0,NA,NA,NA
"MainTrail_360",0,0,0,0,NA,NA,NA,NA
"MainTrail_380",NA,NA,NA,NA,NA,NA,NA,NA
"MainTrail_40",1.34416759,0,0,0,NA,NA,NA,NA
"MainTrail_60",0,0,0,0,NA,NA,NA,NA
"MainTrail_80",0.636427179,0,0,0,NA,NA,NA,NA
"Silenciosa_0",0,0,NA,NA,NA,NA,NA,NA
"Silenciosa_100",0,0,0,0.902460888,0,NA,NA,NA
"Silenciosa_120",0,NA,NA,NA,NA,NA,NA,NA
"Silenciosa_140",0,0,NA,NA,NA,NA,NA,NA
"Silenciosa_160",0,0,NA,NA,NA,NA,NA,NA
"Silenciosa_180",0,0,0,NA,NA,NA,NA,NA
"Silenciosa_20",0,NA,NA,NA,NA,NA,NA,NA
"Silenciosa_40",0,0,0,NA,NA,NA,NA,NA
"Silenciosa_60",0,0,NA,NA,NA,NA,NA,NA
"Silenciosa_80",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_0",0,0,0.021655702,0,NA,NA,NA,NA
"Verrugosa_100",0,0,0,NA,NA,NA,NA,NA
"Verrugosa_120",0,0,4.488654733,0,NA,NA,NA,NA
"Verrugosa_140",0,1.997855827,0,0,NA,NA,NA,NA
"Verrugosa_160",0,0,0,0,0,NA,NA,NA
"Verrugosa_180",0,0.570683889,0,0,NA,NA,NA,NA
"Verrugosa_20",NA,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_200",0,2.343336046,1.765401363,0,NA,NA,NA,NA
"Verrugosa_220",0,0,0.58068525,2.614922822,0,7.664070725,NA,NA
"Verrugosa_240",0,0,0,0,0,NA,NA,NA
"Verrugosa_260",0,0,0,NA,NA,NA,NA,NA
"Verrugosa_280",0,3.966568784,NA,NA,NA,NA,NA,NA
"Verrugosa_300",0,1.824744791,0,0,NA,NA,NA,NA
"Verrugosa_320",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_340",0,0,0,NA,NA,NA,NA,NA
"Verrugosa_360",0,0,0,NA,NA,NA,NA,NA
"Verrugosa_380",0,0,0,NA,NA,NA,NA,NA
