,survey_2,survey_3,survey_4,survey_5,survey_6,survey_7,survey_8,survey_9,survey_10,survey_11,survey_12,survey_13,survey_14,survey_15,survey_16,survey_17,survey_18,survey_19,survey_20,survey_21,survey_22,survey_23,survey_24,survey_25,survey_26,survey_27,survey_28
Cascada_0,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_10,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_100,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_110,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_120,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_130,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_140,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_150,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_160,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_170,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_180,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_190,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_20,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_30,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_40,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_50,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_60,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_70,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_80,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Cascada_90,1,1,12,1,1,18,1,212,1,1,16,1,5,1,101,1,1,1,18,1,1,243,1,1,1,10,1
Guabal_0,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_10,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_100,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_110,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_120,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_130,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_140,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_150,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_160,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_170,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_180,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_190,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_20,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_30,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_40,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_50,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_60,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_70,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_80,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
Guabal_90,1,1,19,2,1,18,1,204,1,1,27,1,1,1,106,1,3,18,1,1,1,232,1,1,1,10,1
LoopStream_0,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_10,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_100,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_110,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_120,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_130,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_140,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_150,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_160,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_170,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_180,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_190,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_20,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_30,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_40,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_50,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_60,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_70,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_80,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopStream_90,1,3,15,1,13,2,203,1,1,18,1,2,114,1,1,1,20,1,1,226,1,1,1,11,1,1,1
LoopTrail_0,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_10,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_100,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_110,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_120,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_130,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_140,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_150,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_160,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_170,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_180,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_190,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_20,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_200,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_210,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_220,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_230,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_240,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
LoopTrail_250,1,1,8,11,1,1,205,1,1,4,1,1,1,114,2,1,20,1,1,226,1,1,1,12,1,1,NA
