"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",1.042783782,0,0,0,0,0,0,NA
"Cascada_100",1.480457894,0,0,0,0,0,0,NA
"Cascada_120",0,3.04171741,0,0,0,0,0,NA
"Cascada_140",1.603561044,2.608003914,1.603561044,0,0,0,0,NA
"Cascada_160",0,0,0,0,0,0.006126063,0,NA
"Cascada_180",0,0,0,0,0,0,0,NA
"Cascada_20",0,0,0,0,0,0,0,NA
"Cascada_40",0,52.776164192,0,0,0,0,0,NA
"Cascada_60",0,0,0,0,0,0,0,NA
"Cascada_80",0,0,0,0,0,0,0,NA
"Guabal_0",0,0,0,0,0,0.032002151,0,NA
"Guabal_100",0,0,0,0,0,0,0,NA
"Guabal_120",0,2.470158934,0.882824808,0,0,0,0,NA
"Guabal_140",3.264888674,0,0,0,0,0,0,NA
"Guabal_160",0,0,0,0,9.791939855,0,0,NA
"Guabal_180",0,0,0,0,0,0,28.59855175,NA
"Guabal_20",0,0,0,0,0,0,0,NA
"Guabal_40",0,0,0,0,0,0,0,NA
"Guabal_60",0,0,0,0,0,0,0,NA
"Guabal_80",0,0,0,0,0,0,0,NA
"LoopStream_0",0,0,0,0,0,0,NA,NA
"LoopStream_100",12.947638631,0,0,0,0,0,NA,NA
"LoopStream_120",0,9.072179794,0,0,0,0,NA,NA
"LoopStream_140",0,0,0,0,0.210412182,0.210412182,NA,NA
"LoopStream_160",0,0,0,0,0,0,NA,NA
"LoopStream_180",1.241143271,0,0,0,0,5518.858643,NA,NA
"LoopStream_20",0,0,0,0,0,0,NA,NA
"LoopStream_40",0,0.148402257,0,0,0,0,NA,NA
"LoopStream_60",0,0,0,0,0,0,NA,NA
"LoopStream_80",1.352717876,0,0,0,0,0,NA,NA
"LoopTrail_0",0,0,0,0,0,0,0,NA
"LoopTrail_100",0,0,0,0,0,0,0,NA
"LoopTrail_120",0,0,0,0,0,0,0,NA
"LoopTrail_140",0,0,0,0,0,0,0,NA
"LoopTrail_160",0,0,0,0,0,0,0,NA
"LoopTrail_180",0,0,0,0,0,0,2.8443259,NA
"LoopTrail_20",0,0,0,0,0,0,0,NA
"LoopTrail_200",0.48294764,0,0,0,0,0,0,NA
"LoopTrail_220",0,0,0,0,0,0,0,NA
"LoopTrail_240",0,0,0,0,0,0,0,NA
"LoopTrail_260",0,0,0,0,0,0,0,NA
"LoopTrail_280",0,0,0,0,0,0,0,NA
"LoopTrail_300",0.804523751,0,0,0,0,0,0,NA
"LoopTrail_320",0,0,0,0,0,0,0,NA
"LoopTrail_340",0,0,0,0,0,0,0,NA
"LoopTrail_360",0,0,0,0,0,0,0,NA
"LoopTrail_40",0,0,0,0,0,0,0,NA
"LoopTrail_60",0,0,0,0,0,0,0,NA
"LoopTrail_80",0,0,0,0,0,0,0,NA
"MainTrail_0",0,0,0,0,0,0,0,NA
"MainTrail_100",0,0,0,0,0,0,0,NA
"MainTrail_120",1417.190399,0,0,0,0,0,0,NA
"MainTrail_140",0,0,0,0,0,0,0,NA
"MainTrail_160",0,0,0,0,0,0,0,NA
"MainTrail_180",0,0,0,0,0,0,0,NA
"MainTrail_20",0,0,0,0,0,0,0,NA
"MainTrail_200",0,0,0,0,0,0,0,NA
"MainTrail_220",0,0,0,0,0.594385751,0,0,NA
"MainTrail_240",0,0,0,0,0,0,0,NA
"MainTrail_260",0,0,0,0,0,0,0,NA
"MainTrail_280",0,0,0,0,0,0,0,NA
"MainTrail_300",0,0,0,0,0,0,0,NA
"MainTrail_320",0,0,0,0,0,0,0,NA
"MainTrail_340",0,0,0,0,0,0,0,NA
"MainTrail_360",0,0,0,0,0,0,0,NA
"MainTrail_380",0,0,0,0,0,0,0,NA
"MainTrail_40",0,0,0,0,0.988094881,0,0,NA
"MainTrail_60",0,0,0,0,0,1.528731585,0,NA
"MainTrail_80",0,0,0,0,0,0,0,NA
"Silenciosa_0",0,0,0,0,0,0,0,NA
"Silenciosa_100",1.65945828,0,0,0,0,0,0,NA
"Silenciosa_120",0.984396413,1.221529841,0,0,0,0,0,NA
"Silenciosa_140",0,0,0,0,0,0,0,NA
"Silenciosa_160",0,0,0,0,0,0,0,NA
"Silenciosa_180",0,0.823413581,0,0,0,0,0,NA
"Silenciosa_20",0,0,0,0,0,0,0,NA
"Silenciosa_40",1.615456939,0,0,0,0,0,0,NA
"Silenciosa_60",0,0,0,0,0,0,0,NA
"Silenciosa_80",0,0,0,0,0,0,0,NA
"Verrugosa_0",0,0,0,0,0,0,0,NA
"Verrugosa_100",0,0,0,0,0,0,0,NA
"Verrugosa_120",0,0,0,0,0,0,0,NA
"Verrugosa_140",0,0,0,0,0,0,0,NA
"Verrugosa_160",0,0,0,0,0,0,0,NA
"Verrugosa_180",0,0,0,0,0,0,0,NA
"Verrugosa_20",0,0,0,0,0,0,0,NA
"Verrugosa_200",0,0,0,0,0,0,0,NA
"Verrugosa_220",0,0,0,0,0,0,0,NA
"Verrugosa_240",0,0,0,0,0,0,0,NA
"Verrugosa_260",0,0,0,0,0,0,0,NA
"Verrugosa_280",0,0,0,0,0,1.459458768,0,NA
"Verrugosa_300",0,0,0,0,0,0,0,NA
"Verrugosa_320",0,0,0,0,0,0,0,NA
"Verrugosa_340",0,0,0,0,0,0,0,NA
"Verrugosa_360",0,0,0,0,0,0,0,NA
"Verrugosa_380",0,0,0,0,0,0,0,NA
"Verrugosa_40",0,0,0,0,0,1.561823078,0,NA
"Verrugosa_60",0,0,0,0,0,0,0,NA
"Verrugosa_80",0,0,0,0,0,0,0,NA
