"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",0,0,3567.758525188,1.097580083,0.665517077,2.613661289,0.35835728,NA
"Cascada_100",0,0,0,0,0,1.903843209,0,NA
"Cascada_120",0,0,0,0,0,0,0,NA
"Cascada_140",0,0,0,0,0,0,0,NA
"Cascada_160",0.356044571,0,0,0,0,0,0,NA
"Cascada_180",0.223350581,0,0,0.223350581,0,0,0,NA
"Cascada_20",23.20088148,0,23.515559024,23.515559024,0,0.287322681,19.420191054,NA
"Cascada_40",40.746654495,0.32015603,0,0.689848885,0,0.538372211,1.163958237,NA
"Cascada_60",0,0,0,0,0,0.551019721,0,NA
"Cascada_80",0,0,0,0,0,0,0,NA
"Guabal_0",0.590109229,0,4.862021804,0,0,0,0,NA
"Guabal_100",0,0,0,0,1.244737468,0,0,NA
"Guabal_120",0.687939711,0,0,0,0,0.463601202,0,NA
"Guabal_140",0.58042081,0,0.33834435,0,0,0,0,NA
"Guabal_160",0,0,8065.372723583,0,0,0,0,NA
"Guabal_180",0,0,0,0,0,0,0,NA
"Guabal_20",0,0,0,0,4.80538547,0,0,NA
"Guabal_40",0,0,0,0,0,6.347334981,0,NA
"Guabal_60",0,0,0,0.345375165,0,0,0,NA
"Guabal_80",42.304843888,0,0,0,0,0,0,NA
"LoopStream_0",0.33228796,0.33228796,0,0.33228796,0,0,0,NA
"LoopStream_100",0,0,0,0,0,0,0,NA
"LoopStream_120",0,0,0,0,0,0,0,NA
"LoopStream_140",0.285424218,0,0.285424218,0.285424218,0,0,0,NA
"LoopStream_160",0,0,0,0,0,0,0.214164238,NA
"LoopStream_180",1661.729126,0,0,0,0,0,0,NA
"LoopStream_20",0,0.837279409,0,0.837279409,0.682025701,0.682025701,0.682025701,NA
"LoopStream_40",0.837279409,1.139764562,10.803559795,9.663795233,0.020697869,0,0,NA
"LoopStream_60",0.305015706,0,0.619615987,0,0,0,0,NA
"LoopStream_80",0,0,0.305015706,0.305015706,0,0,0,NA
"LoopTrail_0",6.130853295,0,0,0,0,0,NA,NA
"LoopTrail_100",0,0,0,0,0,0,NA,NA
"LoopTrail_120",0,0,0,0,0,0,NA,NA
"LoopTrail_140",0,0,0,1698.851471,0,0,NA,NA
"LoopTrail_160",0,0,0,0,0,0,NA,NA
"LoopTrail_180",0,0,0,0,0,0,NA,NA
"LoopTrail_20",1.51370734,0,0,0,0,0,NA,NA
"LoopTrail_200",28.600711299,0,0,0,0,0,NA,NA
"LoopTrail_220",0,0,0,0,0,0,NA,NA
"LoopTrail_240",0,0,0,0,0,0,NA,NA
"LoopTrail_260",0,0,0,863.8594055,0,0,NA,NA
"LoopTrail_280",0,0,0,0,0,0,NA,NA
"LoopTrail_300",0,0,0,0,0,0,NA,NA
"LoopTrail_320",0,0,0,0,0,0,NA,NA
"LoopTrail_340",0,0,0,2.361858934,0,0,NA,NA
"LoopTrail_360",0,0,0,0,0,0,NA,NA
"LoopTrail_40",0,0,0,0,0,0,NA,NA
"LoopTrail_60",0,0,0,0,0,0,NA,NA
"LoopTrail_80",7.238982916,0,0,0,0,0,NA,NA
"MainTrail_0",0,0,0,0,0,0,NA,NA
"MainTrail_100",0,0,0,0,0,0,NA,NA
"MainTrail_120",0,0,0,0,0,0,NA,NA
"MainTrail_140",0,0,0,0,28.51105213,0,NA,NA
"MainTrail_160",8738.790283,0,0,0,0,0,NA,NA
"MainTrail_180",0,0,0,0,0,0,NA,NA
"MainTrail_20",0,0,0,0,67.56768227,0,NA,NA
"MainTrail_200",0,0,0,0,0,0,NA,NA
"MainTrail_220",0,0,0,0,0,0,NA,NA
"MainTrail_240",29.51704025,0,0,0,0,0,NA,NA
"MainTrail_260",0,0,0,0,0,0,NA,NA
"MainTrail_280",0,0,0,0,0,0,NA,NA
"MainTrail_300",117.0252037,0,0,0,0,0,NA,NA
"MainTrail_320",0,0,0,0.347482711,0,0,NA,NA
"MainTrail_340",0,0,0,0,0,0,NA,NA
"MainTrail_360",14.09153223,0,0,0,0,0,NA,NA
"MainTrail_380",0,0,0,0,0,0,NA,NA
"MainTrail_40",0.348377004,0,0,0,2.3452501,0,NA,NA
"MainTrail_60",0,0,0,0,0,0,NA,NA
"MainTrail_80",0,0,0,0,0,0,NA,NA
"Silenciosa_0",0,0,0,0,0,0,0,NA
"Silenciosa_100",0,0,0,4.411509335,21.70962572,0,0,NA
"Silenciosa_120",0,0,0,0,0,0.729663372,0.729663372,NA
"Silenciosa_140",0,0,0,0,0,0,0,NA
"Silenciosa_160",0,0,0,0,0,0.61001569,0,NA
"Silenciosa_180",0,0,0,0.450330712,0,0.450330712,0,NA
"Silenciosa_20",0,0,0,0,0,0,0,NA
"Silenciosa_40",0,0,0,0,0,0,0,NA
"Silenciosa_60",2.009855807,0,0,0.435303338,0,0,0,NA
"Silenciosa_80",0,0,0,0,0,0,0,NA
"Verrugosa_0",0,0,0,0,0,NA,NA,NA
"Verrugosa_100",0,0,0,6.625859737,0,NA,NA,NA
"Verrugosa_120",0,0,0,0,0,NA,NA,NA
"Verrugosa_140",0,0,0,0,0.359100662,NA,NA,NA
"Verrugosa_160",0,0,0,0,0.562103726,NA,NA,NA
"Verrugosa_180",0,0,0,0.49040962,0,NA,NA,NA
"Verrugosa_20",0,0,0,0,0,NA,NA,NA
"Verrugosa_200",0,0,0,0,0,NA,NA,NA
"Verrugosa_220",0,0,0,0,0,NA,NA,NA
"Verrugosa_240",0,0,0,0,0,NA,NA,NA
"Verrugosa_260",0,0,0,0,0,NA,NA,NA
"Verrugosa_280",0,0.304242689,129.654143025,0,0,NA,NA,NA
"Verrugosa_300",0,0,0,0,0,NA,NA,NA
"Verrugosa_320",0,0.000948147,0,0,1.015916392,NA,NA,NA
"Verrugosa_340",0,0,0,0,0,NA,NA,NA
"Verrugosa_360",0,0,0,0,0,NA,NA,NA
"Verrugosa_380",0,0,0,0.766398683,0,NA,NA,NA
"Verrugosa_40",0,0,0,0,0,NA,NA,NA
"Verrugosa_60",0,0,0,0.087894434,0,NA,NA,NA
"Verrugosa_80",0,0,0,9.531883597,93.02620888,NA,NA,NA
