"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8","survey_9","survey_10","survey_11"
"Cascada_0",2,2,2,2,2,2,2,2,2,2,2
"Cascada_100",2,2,2,2,2,2,2,2,2,2,2
"Cascada_120",2,2,2,2,2,2,2,2,2,2,2
"Cascada_140",2,2,2,2,2,2,2,2,2,2,2
"Cascada_160",2,2,2,2,2,2,2,2,2,2,2
"Cascada_180",2,2,2,2,2,2,2,2,2,2,2
"Cascada_20",2,2,2,2,2,2,2,2,2,2,2
"Cascada_40",2,2,2,2,2,2,2,2,2,2,2
"Cascada_60",2,2,2,2,2,2,2,2,2,2,2
"Cascada_80",2,2,2,2,2,2,2,2,2,2,2
"Guabal_0",2,2,2,2,2,2,2,2,2,2,2
"Guabal_100",2,2,2,2,2,2,2,2,2,2,2
"Guabal_120",2,2,2,2,2,2,2,2,2,2,2
"Guabal_140",2,2,2,2,2,2,2,2,2,2,2
"Guabal_160",2,2,2,2,2,2,2,2,2,2,2
"Guabal_180",2,2,2,2,2,2,2,2,2,2,2
"Guabal_20",2,2,2,2,2,2,2,2,2,2,2
"Guabal_40",2,2,2,2,2,2,2,2,2,2,2
"Guabal_60",2,2,2,2,2,2,2,2,2,2,2
"Guabal_80",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_0",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_100",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_120",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_140",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_160",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_180",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_20",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_40",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_60",2,2,2,2,2,2,2,2,2,2,2
"LoopStream_80",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_0",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_100",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_120",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_140",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_160",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_180",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_20",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_200",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_220",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_240",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_260",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_280",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_300",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_320",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_340",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_360",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_380",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_40",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_60",2,2,2,2,2,2,2,2,2,2,2
"LoopTrail_80",2,2,2,2,2,2,2,2,2,2,2
"MainTrail_0",2,2,2,2,2,2,2,2,2,2,2
"MainTrail_100",2,2,2,2,2,2,2,2,2,2,2
