,survey_1,survey_2,survey_3,survey_4,survey_5,survey_6
Cascada_0,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_100,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_120,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_140,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_160,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_180,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_20,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_40,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_60,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Cascada_80,3,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_0,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_100,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_120,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_140,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_160,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_180,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_20,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_40,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_60,3,2,3.181818182,3.181818182,3.181818182,3.181818182
Guabal_80,3,2,3.181818182,3.181818182,3.181818182,3.181818182
LoopStream_0,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_100,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_120,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_140,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_160,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_180,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_20,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_40,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_60,4,2,3,3.181818182,3.181818182,3.181818182
LoopStream_80,4,2,3,3.181818182,3.181818182,3.181818182
LoopTrail_0,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
LoopTrail_100,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
LoopTrail_120,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182,3.181818182
