"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8","survey_9","survey_10","survey_11"
"Cascada_0",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_100",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_120",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_140",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_160",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_180",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_20",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_40",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_60",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Cascada_80",2,2,2,3,2,2,2,2.375,2.375,2.375,2.375
"Guabal_0",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_100",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_120",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_140",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_160",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_180",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_20",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_40",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_60",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"Guabal_80",4,2,2,2,2,2,2,2.375,2.375,2.375,2.375
"LoopStream_0",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_100",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_120",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_140",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_160",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_180",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_20",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_40",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_60",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopStream_80",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_0",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_100",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_120",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_140",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_160",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_180",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_20",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_200",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_220",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_240",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_260",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_280",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_300",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_320",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_340",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_360",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_380",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_40",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_60",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"LoopTrail_80",2,2,2,2,5,2,2,2.375,2.375,2.375,2.375
"MainTrail_0",2,2,2,2,2,4,2.375,2.375,2.375,2.375,2.375
