surv	day	mo	yr	season	trans	cap	Group	Fun_group	Genus	Species	swab	Zoospore_load_NEW	Zoospore_load	Second_load	TC	R	sex	Tb	Ts	SVL	mass	act	ht	dist	subst	mtr	bk	time	AM_PM	Num
21	11	6	2012	wet	Guabal	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
40	21	6	2012	wet	Silenciosa	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
61	5	7	2012	wet	LoopTrail	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
92	21	7	2012	wet	MainTrail	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
5	4	2	2013	dry	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
8	5	2	2013	dry	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
10	6	2	2013	dry	Silenciosa	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
22	9	2	2013	dry	Cascada	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
45	23	2	2013	dry	Guabal	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
54	25	2	2013	dry	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
43	30	6	2013	wet	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
46	1	7	2013	wet	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
58	7	7	2013	wet	Guabal	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
59	7	7	2013	wet	Silenciosa	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
66	13	7	2013	wet	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
72	15	7	2013	wet	Silenciosa	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
77	17	7	2013	wet	Guabal	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
95	25	7	2013	wet	Guabal	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
96	25	7	2013	wet	Silenciosa	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
9	28	2	2014	dry	LoopStream	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
24	3	3	2014	dry	Silenciosa	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
31	6	3	2014	dry	MainTrail	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
37	7	3	2014	dry	MainTrail	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
45	9	3	2014	dry	Guabal	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
65	14	3	2014	dry	LoopTrail	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
51	27	6	2012	wet	Guabal	3	Egg	0	2_egg_clutch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	220	0	leaf	101	L	1931	PM	1
81	11	3	2013	dry	MainTrail	2	Frog	both	Agalychnis	callidryas	EC_1030	0	0	0	NA	NA	NA	21.1	20.9	97.3	5.5	NA	0.7	NA	leaf	296	R	2108	PM	1
6	4	6	2012	wet	LoopTrail	2	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ground	40	L	1051	AM	1
38	20	6	2012	wet	Guabal	9	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0.4	mossy_boulder	385	L	1056	AM	1
74	12	7	2012	wet	Guabal	2	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	0	2	boulder	392	L	1055	AM	1
74	12	7	2012	wet	Guabal	1	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	0	2	rock	289	L	1042	AM	1
77	13	7	2012	wet	Guabal	4	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	0	1	boulder	388	L	1109	AM	1
77	13	7	2012	wet	Guabal	5	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	0	1	boulder	389	L	1109	AM	1
102	25	7	2012	wet	LoopStream	3	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	5	0.4	rock	177	L	1004	AM	1
102	25	7	2012	wet	LoopStream	2	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	5	0.5	rock	177	L	1004	AM	1
103	25	7	2012	wet	LoopTrail	2	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	NA	NA	NA	162	L	1051	AM	1
4	16	6	2013	wet	Cascada	5	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	1.5	boulder	118	L	908	AM	1
72	22	3	2014	dry	Guabal	3	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rock	268	L	914	AM	1
